op_type,type_occurrences,execution_frequency(per-step),total_compute_time,avg_time(ms),percent
SparseSoftmaxCrossEntropyWithLogits,3750,2,634.721,0.169259,0.0149988
Conv2DBackpropInput,1875,1,3604.26,1.92227,0.0851706
BiasAdd,5625,3,32.8953,0.00584806,0.000777334
Reshape,3750,2,40.5452,0.0108121,0.000958105
MaxPoolGrad,3750,2,6204.97,1.65466,0.146627
Conv2DBackpropFilter,3750,2,6623.63,1.7663,0.15652
ApplyMomentum,15000,8,664.592,0.0443062,0.0157047
Conv2D,3750,2,7473.71,1.99299,0.176608
MaxPool,3750,2,8986.38,2.39637,0.212353
ReLU,7500,4,3463.78,0.461837,0.081851
BiasAddGrad,5625,3,574.466,0.102127,0.0135749
ReluGrad,7500,4,1139.04,0.151872,0.0269161
MatMul,16875,9,2875.16,0.17038,0.0679415
